entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2021-05-05,2021-05-25,319.70318603515625,323.5315246582031,0.01197466522159063,20
2021-08-19,2021-08-23,354.05328369140625,363.0710754394531,0.025470154249174648,4
2021-09-21,2021-10-15,356.5785827636719,359.2956848144531,0.007619924981815407,24
2021-12-02,2021-12-08,379.71746826171875,389.1639099121094,0.02487755354957666,6
2022-01-20,2022-02-03,352.7143249511719,344.74774169921875,-0.022586503264521496,14
2022-02-24,2022-03-17,332.012939453125,335.8645324707031,0.0116007316579958,21
2022-04-27,2022-05-31,309.25555419921875,300.97650146484375,-0.0267709104071312,34
2022-06-14,2022-06-27,269.3733215332031,286.07037353515625,0.061984802009782625,13
2022-08-29,2022-10-24,297.7694396972656,272.8652648925781,-0.08363576473800305,56
2022-12-19,2023-01-11,264.9725341796875,272.63433837890625,0.028915465608307267,23
2023-08-10,2023-08-30,363.1199645996094,371.2672119140625,0.022436792544405115,20
2023-09-22,2023-10-09,353.10882568359375,361.6427917480469,0.024168090525440666,17
2023-10-27,2023-11-03,340.6778869628906,362.77740478515625,0.06486924648758574,7
2024-04-16,2024-04-30,426.95458984375,420.50714111328125,-0.015101017494221769,14
2024-07-25,2024-08-14,454.584716796875,459.00885009765625,0.009732252619390369,20
